ReTr(Lx),ReTr(Ly),ImTr(Lx),ImTr(Ly)
0.0658915, 0.0394021, 0.0738419, -0.0237982
0.0658915, 0.0394021, 0.0738419, -0.0237982
0.101474, -0.0204126, 0.0364056, -0.108383
0.083344, -0.00803149, -0.0491639, 0.0257615
-0.00134193, -0.0578279, -0.0524703, 0.000200038
0.044824, -0.0669394, -0.0783748, -0.0631873
0.0601786, -0.163245, -0.05624, -0.0100021
0.0609283, -0.20062, -0.0199646, -0.107079
-0.0242379, -0.184977, -0.032245, -0.0249609
0.0136559, -0.210756, 0.00513425, -0.0677617
0.00115967, -0.221471, 0.139569, -0.0157377
-0.0316097, -0.213168, 0.0936456, -0.0299244
-0.0316097, -0.213168, 0.0936456, -0.0299244
-0.0316097, -0.213168, 0.0936456, -0.0299244
-0.0340714, -0.261352, 0.184541, 0.0109838
-0.000803216, -0.247642, 0.101491, -0.0523201
-0.000803216, -0.247642, 0.101491, -0.0523201
0.111586, -0.274804, 0.0667963, -0.144584
0.111586, -0.274804, 0.0667963, -0.144584
0.111586, -0.274804, 0.0667963, -0.144584
-0.020429, -0.193549, 0.119406, 0.0279319
0.0291309, -0.151359, 0.0840006, -0.0107698
0.0291309, -0.151359, 0.0840006, -0.0107698
0.0465177, -0.137933, 0.12121, -0.105787
0.0465177, -0.137933, 0.12121, -0.105787
0.0465177, -0.137933, 0.12121, -0.105787
0.0465177, -0.137933, 0.12121, -0.105787
0.0662996, -0.170569, 0.0181243, -0.0606997
-0.0324386, -0.140129, 0.0487967, -0.0449659
-0.0170281, -0.185833, 0.0642952, 0.0574865
-0.0223659, -0.173242, -0.00429951, -0.0363339
0.00217819, -0.256735, 0.0380066, 0.00399079
-0.00964699, -0.0883144, -0.00846335, -0.04399
-0.00964699, -0.0883144, -0.00846335, -0.04399
-0.00964699, -0.0883144, -0.00846335, -0.04399
-0.00964699, -0.0883144, -0.00846335, -0.04399
-0.00964699, -0.0883144, -0.00846335, -0.04399
-0.00964699, -0.0883144, -0.00846335, -0.04399
-0.00964699, -0.0883144, -0.00846335, -0.04399
-0.00964699, -0.0883144, -0.00846335, -0.04399
-0.0236676, -0.0446604, 0.0408549, 0.0866855
0.0446144, -0.147673, 0.00230519, -0.0668366
0.0482537, -0.0893137, -0.0117733, 0.140648
0.0482537, -0.0893137, -0.0117733, 0.140648
0.0482537, -0.0893137, -0.0117733, 0.140648
0.0131075, -0.137819, -0.0511218, 0.100764
0.0834666, -0.141272, -0.0715041, 0.0347514
0.0834666, -0.141272, -0.0715041, 0.0347514
0.075615, -0.00704366, -0.0487519, 0.0935664
0.075615, -0.00704366, -0.0487519, 0.0935664
0.0491259, -0.012522, -0.0747291, 0.0420447
0.0358105, -0.0209564, -0.15358, 0.087463
0.0189459, -0.0381753, -0.0585259, 0.0738624
0.0189459, -0.0381753, -0.0585259, 0.0738624
-0.0297551, -0.074936, 0.019685, 0.111581
-0.0297551, -0.074936, 0.019685, 0.111581
0.0274786, -0.127719, -0.049059, 0.121509
-0.0340123, -0.0891828, -0.0817978, 0.11182
-0.061155, -0.0787499, -0.142331, 0.0710817
-0.061155, -0.0787499, -0.142331, 0.0710817
-0.061155, -0.0787499, -0.142331, 0.0710817
-0.061155, -0.0787499, -0.142331, 0.0710817
0.0843364, -0.0595173, -0.0447706, 0.0441466
