MDTU,min_width,max_width
915,0.169417,0.1021
916,0.168038,0.103194
917,0.167799,0.102041
918,0.166608,0.100631
919,0.167486,0.100865
920,0.165762,0.0995034
921,0.165469,0.100535
922,0.169685,0.101406
923,0.168768,0.10217
924,0.170412,0.102185
925,0.168214,0.102795
926,0.166815,0.100664
927,0.165034,0.101765
928,0.164348,0.10029
929,0.165268,0.10178
930,0.16324,0.10052
931,0.165775,0.100547
932,0.161578,0.100438
933,0.167896,0.102163
934,0.169291,0.102899
935,0.166496,0.102764
936,0.167702,0.103854
937,0.168125,0.102804
938,0.164868,0.101709
939,0.1705,0.103731
940,0.164942,0.100451
941,0.1617,0.100811
942,0.163628,0.101973
943,0.164998,0.10205
944,0.168958,0.103669
945,0.163529,0.10238
946,0.16555,0.101085
947,0.169602,0.104124
948,0.171448,0.102362
949,0.168059,0.101381
950,0.1653,0.100334
951,0.160334,0.100103
952,0.160538,0.100193
953,0.163609,0.101422
954,0.165256,0.101528
955,0.161532,0.101105
956,0.165187,0.10064
957,0.166195,0.102399
958,0.164972,0.10156
959,0.164411,0.100182
960,0.162217,0.0997981
961,0.167096,0.102916
962,0.165865,0.100341
963,0.165184,0.102517
964,0.16558,0.102945
965,0.165216,0.103498
966,0.162301,0.101281
967,0.165545,0.103089
968,0.167789,0.101696
969,0.16246,0.100753
970,0.163627,0.101615
971,0.164528,0.101343
972,0.167944,0.102136
973,0.165193,0.10346
974,0.167842,0.103637
975,0.165849,0.102577
976,0.166808,0.101133
977,0.166111,0.103037
978,0.170241,0.101983
979,0.16995,0.104
980,0.170291,0.102974
981,0.170142,0.103722
982,0.164843,0.102742
983,0.166809,0.101528
984,0.168246,0.102181
985,0.166252,0.101465
986,0.165453,0.10197
987,0.168245,0.102384
988,0.172515,0.101321
989,0.167877,0.100831
990,0.165545,0.100988
991,0.166198,0.102219
992,0.169384,0.10235
993,0.16429,0.10102
994,0.167334,0.102789
995,0.163695,0.101734
996,0.163695,0.101734
997,0.165758,0.101825
998,0.161844,0.103284
999,0.170147,0.101055
1000,0.170147,0.101055
1001,0.167988,0.102583
1002,0.16744,0.101989
1003,0.168001,0.101106
1004,0.161892,0.101171
1005,0.164539,0.10174
1006,0.16105,0.101438
1007,0.166449,0.10217
1008,0.165889,0.102271
1009,0.164571,0.102873
1010,0.167323,0.103088
1011,0.165868,0.102047
1012,0.165338,0.10354
1013,0.165338,0.10354
1014,0.168507,0.102846
1015,0.168177,0.103462
1016,0.166189,0.102406
1017,0.164849,0.102506
1018,0.166609,0.101468
1019,0.165245,0.102696
1020,0.164877,0.101592
1021,0.166711,0.101911
1022,0.167452,0.102512
1023,0.167471,0.10289
1024,0.165904,0.102925
1025,0.167807,0.102517
1026,0.164538,0.102492
1027,0.168772,0.101823
1028,0.162061,0.10075
1029,0.165205,0.101753
1030,0.167675,0.1041
1031,0.166815,0.103356
1032,0.163725,0.101689
1033,0.163725,0.101689
1034,0.164947,0.100248
1035,0.164095,0.101695
1036,0.163368,0.10116
1037,0.165547,0.101949
1038,0.167108,0.102269
1039,0.169252,0.102308
1040,0.164087,0.103723
1041,0.163507,0.101113
1042,0.165817,0.102856
1043,0.163442,0.102316
1044,0.168449,0.102144
1045,0.163536,0.102513
1046,0.166681,0.102311
1047,0.162814,0.101793
1048,0.167593,0.101755
1049,0.167099,0.101086
1050,0.166047,0.101613
1051,0.166538,0.102498
1052,0.166688,0.103239
1053,0.165338,0.10112
1054,0.166887,0.100136
1055,0.171316,0.103973
1056,0.167497,0.103677
1057,0.167859,0.100594
1058,0.165326,0.102384
1059,0.170347,0.102128
1060,0.16439,0.10065
1061,0.168333,0.101316
1062,0.166203,0.0999072
1063,0.168511,0.101808
1064,0.165707,0.101214
1065,0.165563,0.101615
1066,0.165735,0.100967
1067,0.166274,0.100343
1068,0.168741,0.102133
1069,0.165188,0.100352
1070,0.167044,0.102578
1071,0.170001,0.10258
1072,0.174434,0.10316
1073,0.166351,0.101568
1074,0.166578,0.100715
1075,0.16805,0.102956
1076,0.171888,0.102136
1077,0.170746,0.104284
1078,0.165936,0.102828
1079,0.168213,0.103438
1080,0.169971,0.102414
1081,0.166729,0.103986
1082,0.168702,0.10151
1083,0.167275,0.101261
1084,0.168709,0.102061
1085,0.171129,0.103429
1086,0.169921,0.103229
1087,0.171542,0.10463
1088,0.172075,0.102439
1089,0.168086,0.101302
1090,0.167748,0.101539
1091,0.167408,0.102484
1092,0.169372,0.102632
1093,0.166267,0.101562
1094,0.166379,0.102035
1095,0.165195,0.103712
1096,0.166524,0.103135
1097,0.164965,0.10249
1098,0.165011,0.101892
1099,0.165677,0.102886
1100,0.166107,0.101888
1101,0.168408,0.102966
1102,0.164367,0.100636
1103,0.165557,0.102094
1104,0.167034,0.101875
1105,0.167906,0.103375
1106,0.171277,0.102544
1107,0.167572,0.102022
1108,0.168684,0.101855
1109,0.1685,0.102781
1110,0.166018,0.103325
1111,0.165198,0.0990981
1112,0.167721,0.100664
1113,0.167273,0.10084
1114,0.17346,0.102719
1115,0.174048,0.101239
1116,0.174798,0.102164
1117,0.171195,0.0999992
1118,0.169546,0.101352
1119,0.171895,0.101682
1120,0.18018,0.10229
1121,0.177108,0.10035
1122,0.174303,0.100768
1123,0.176731,0.100893
1124,0.172569,0.101859
1125,0.173405,0.102691
1126,0.175232,0.103023
1127,0.170258,0.102494
1128,0.172318,0.104191
1129,0.169697,0.103837
1130,0.16563,0.102128
1131,0.165013,0.101798
1132,0.167772,0.101593
1133,0.163707,0.102048
1134,0.162994,0.101836
1135,0.166007,0.101784
1136,0.170757,0.102556
1137,0.167905,0.100956
1138,0.166468,0.0996486
1139,0.162046,0.100541
1140,0.162046,0.100541
1141,0.162046,0.100541
1142,0.161594,0.100697
1143,0.167473,0.102566
