MDTU,S_B
1694,0.990352
1695,0.993256
1696,0.992971
1697,0.996942
1698,0.994737
1699,1.00162
1700,0.994888
1701,1.00146
1702,0.994954
1703,0.994954
1704,1.0015
1705,0.995869
1706,0.993735
1707,0.994569
1708,1.00186
1709,1.00186
1710,0.999327
1711,0.990953
1712,1.00481
1713,0.991329
1714,0.992438
1715,0.986765
1716,0.988613
1717,0.98866
1718,0.983599
1719,0.994561
1720,0.99186
1721,0.997347
1722,0.986494
1723,0.99025
1724,0.995833
1725,0.992871
1726,0.987881
1727,0.997927
1728,1.00278
1729,1.00058
1730,1.00198
1731,0.999945
1732,0.997292
1733,1.00505
1734,0.99932
1735,0.997175
1736,0.994585
1737,0.998601
1738,0.998385
1739,0.994916
1740,0.997412
1741,0.987394
1742,0.990027
1743,0.995624
1744,0.993704
1745,0.996982
1746,0.99733
1747,0.997755
1748,0.997557
1749,0.997557
1750,0.992703
1751,0.991635
1752,0.99803
1753,0.994012
1754,0.997675
1755,0.999973
1756,0.996851
1757,1.0038
1758,0.991583
1759,0.99649
1760,0.995718
1761,0.998728
1762,0.993474
1763,0.988991
1764,0.993203
1765,0.998638
1766,1.00159
1767,0.994976
1768,1.00479
1769,0.999366
1770,0.994203
1771,0.999747
1772,1.0004
1773,1.00623
1774,1.00464
1775,1.00276
1776,1.00037
1777,1.00374
1778,0.999408
1779,1.00535
1780,0.998121
1781,0.996993
1782,1.00101
1783,0.999398
1784,0.999263
1785,0.995495
1786,0.99949
1787,0.997757
1788,0.997515
1789,0.993988
1790,0.99933
1791,0.99933
1792,0.994909
1793,0.999436
1794,0.994202
1795,1.00525
1796,0.988292
1797,0.999254
1798,1.00097
1799,0.998495
1800,1.00972
1801,0.999109
1802,0.999894
1803,1.00196
1804,0.995373
1805,0.993103
1806,0.995519
1807,1.00135
1808,1.00398
1809,1.00219
1810,0.999223
1811,1.00594
1812,1.00986
1813,0.999558
1814,1.0032
1815,0.996891
1816,1.00536
1817,1.00536
1818,1.00536
1819,0.995039
1820,0.990614
1821,0.99591
1822,0.997087
1823,0.997087
1824,0.996465
1825,0.996465
1826,1.00175
1827,0.983225
1828,0.994001
1829,0.995391
1830,0.995391
1831,0.986123
1832,0.992159
1833,0.98524
1834,0.987599
1835,0.990133
1836,0.992764
1837,0.99366
1838,0.996494
1839,0.997391
1840,0.994443
1841,1.00092
1842,0.998319
1843,0.995029
1844,0.993785
1845,0.992881
1846,0.99007
1847,0.999052
1848,0.991697
1849,1.0037
1850,0.990074
1851,1.00296
1852,1.00296
1853,0.991229
1854,0.989538
1855,0.989538
1856,0.988646
1857,0.991802
1858,0.996
1859,0.996297
1860,0.99703
1861,1.00014
1862,0.999754
1863,0.990007
1864,0.996736
1865,1.0016
1866,0.986344
1867,0.999546
1868,0.994902
