t,cg_iters
2257,2896
2258,2835
2259,2864
2260,2845
2261,3393
2262,3341
2263,2709
2264,2623
2265,2636
2266,2979
2267,3148
2268,3526
2269,3862
2270,3598
2271,3550
2272,3496
2273,3994
2274,3788
2275,3537
2276,3511
2277,3379
2278,3123
2279,3073
2280,3797
2281,3269
2282,3362
2283,2968
2284,2958
2285,3147
2286,3521
2287,3522
2288,3626
2289,3315
2290,3120
2291,2935
2292,3161
2293,3221
2294,3528
2295,3383
2296,3381
2297,2928
2298,3147
2299,3161
2300,2981
2301,2697
2302,2699
2303,2584
2304,2556
2305,2595
2306,2482
2307,2657
2308,3161
2309,3322
2310,3903
2311,3519
2312,3151
2313,4100
2314,4230
2315,3702
2316,3494
2317,3485
2318,3164
2319,3238
2320,3121
2321,3134
2322,2770
2323,2770
2324,2866
2325,3059
2326,3077
2327,3495
2328,3388
2329,3257
2330,3636
2331,3047
2332,3020
2333,3061
2334,2976
2335,2801
2336,2538
2337,2458
2338,2586
2339,2661
2340,2686
2341,2811
2342,2782
2343,2698
2344,2853
2345,2915
2346,2883
2347,2673
2348,2783
2349,2766
2350,2665
2351,2580
2352,2519
2353,3265
2354,3523
2355,2758
2356,2578
2357,2610
2358,2791
2359,2718
2360,3072
2361,2869
2362,2740
2363,3130
2364,2976
2365,2811
2366,2656
2367,2524
2368,2887
2369,2833
2370,2661
2371,2869
2372,3100
2373,2780
2374,2740
2375,2899
2376,2932
2377,3471
2378,3085
2379,3373
2380,3423
2381,3266
2382,3916
2383,4448
2384,4175
2385,4083
2386,3140
2387,2904
2388,3232
2389,3906
2390,3836
2391,3715
2392,3777
2393,3725
2394,3399
2395,3291
2396,3073
2397,2839
2398,3505
2399,3203
2400,3549
2401,3823
2402,3557
2403,3933
2404,3539
2405,3943
2406,4493
2407,4183
2408,3498
2409,3392
2410,3684
2411,4020
2412,4242
2413,4540
2414,3557
2415,3420
2416,4012
2417,4156
2418,3848
2419,3205
2420,2647
2421,2804
2422,3017
2423,3144
2424,3227
2425,2909
2426,2808
2427,2796
2428,2812
2429,2793
2430,2707
2431,2926
2432,4133
2433,4299
2434,4746
2435,3854
2436,3007
2437,3243
2438,3265
2439,3153
2440,2909
2441,3256
2442,3128
2443,2894
2444,3067
2445,3162
2446,3031
2447,2996
2448,3068
2449,2984
2450,3927
2451,4126
2452,4631
2453,3897
2454,3538
2455,3172
2456,2862
2457,2808
2458,2878
2459,2738
2460,2831
2461,3019
2462,2997
2463,3294
2464,3232
2465,3196
2466,3347
2467,3063
2468,3062
2469,3358
2470,3181
2471,3060
2472,3352
2473,2988
2474,3462
2475,2980
2476,3213
2477,3610
2478,3594
2479,3509
2480,3100
2481,3356
2482,3394
2483,2780
2484,2866
2485,2782
2486,2838
2487,2875
2488,2910
2489,3242
2490,3795
